year,month,day,name,location,country,latitude,longitude,elevation,type,VEI,deaths,missing,injuries,damage,houses_destroyed
2010,1,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,,,,,
2010,3,31,Eyjafjallajokull,Iceland-S,Iceland,63.633,-19.633,1651,Stratovolcano,2,2,,,,
2010,5,27,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,1,1,3,,,3
2010,5,29,Zealandia Bank,Mariana Is-C Pacific,United States,16.88,145.85,0,Stratovolcano,,,,,,
2010,8,6,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,4,,5,,
2010,8,30,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,2,,,,
2010,10,26,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,367,,277,600,
2010,11,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,,,,,
2010,12,28,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,,,,,,
2011,1,3,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,1,,1,,
2011,1,28,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,,,,,,
2011,2,23,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,1,,,,
2011,3,18,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,,,,,,
2011,4,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,4,,,,,
2011,6,4,Puyehue-Cordon Caulle,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,4,,,,,
2011,6,22,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,4,31,,,,
2011,7,9,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,,,,,,
